Town,Population
ANDOVER,3303
ANSONIA,19249
ASHFORD,4317
AVON,18098
BALTIC,1250
BANTAM,759
BARKHAMSTED,3799
BEACON FALLS,6049
BERLIN,19866
BETHANY,5563
BETHEL,18584
BETHLEHEM,3607
BLOOMFIELD,20486
BOLTON,4980
BOZRAH,2627
BRANFORD,28026
BRIDGEPORT,144229
BRIDGEWATER,1727
BRISTOL,60477
BROAD BROOK,4069
BROOKFIELD,16452
BROOKLYN,981
BURLINGTON,9301
CANTERBURY,5132
CANTON,10292
CHAPLIN,2305
CHESHIRE,29261
CHESTER,3994
CLINTON,13260
COLCHESTER,4781
COLUMBIA,5485
COS COB,6770
COVENTRY,12435
CROMWELL,14005
DANBURY,80893
DANIELSON,4051
DARIEN,20732
DEEP RIVER,4629
DERBY,12902
DURHAM,2933
EAST GRANBY,5148
EAST HADDAM,9126
EAST HAMPTON,2691
EAST HARTFORD,51252
EAST HAVEN,29257
EAST LYME,19159
EAST WINDSOR,11162
EASTFORD,1749
EASTON,7490
ELLINGTON,15602
ENFIELD,44654
ESSEX,6683
FAIRFIELD,59404
FARMINGTON,25340
FRANKLIN,1922
GALES FERRY,1162
GLASTONBURY,34427
GOSHEN,2976
GRANBY,11282
GREENWICH,61171
GRISWOLD,11951
GROTON,10389
GROTON LONG POINT,518
GUILFORD,22375
HADDAM,8346
HAMDEN,60960
HAMPTON,1863
HARTFORD,124775
HARWINTON,5642
HEBRON,9686
HIGGANUM,1698
JEWETT CITY,3487
KENT,2979
KILLINGLY,17370
KILLINGWORTH,6525
LEBANON,7308
LEDYARD,15051
LISBON,4338
LITCHFIELD,1258
MADISON,18269
MANCHESTER,30577
MANSFIELD,26543
MARLBOROUGH,6404
MASHANTUCKET,299
MERIDEN,60868
MIDDLEBURY,7575
MIDDLEFIELD,4425
MIDDLETOWN,47648
MILFORD,52759
MONROE,19479
MONTVILLE,19571
MOODUS,1413
MOOSUP,3231
MORRIS,2388
MYSTIC,4205
NAUGATUCK,31862
NEW BRITAIN,73206
NEW CANAAN,19738
NEW FAIRFIELD,13881
NEW HARTFORD,6970
NEW HAVEN,129779
NEW LONDON,27620
NEW MILFORD,6523
NEW PRESTON,1182
NEWINGTON,30562
NEWTOWN,1941
NIANTIC,3114
NORFOLK,553
NORTH BRANFORD,14407
NORTH CANAAN,3315
NORTH GRANBY,1944
NORTH HAVEN,24093
NORTH STONINGTON,5297
NORWALK,85603
NORWICH,40493
OAKVILLE,9047
OLD LYME,7603
OLD SAYBROOK,10242
ORANGE,13956
OXFORD,12683
PAWCATUCK,5624
PLAINFIELD,15405
PLAINVILLE,17716
PLYMOUTH,12243
POMFRET,4247
PORTLAND,9508
PRESTON,4726
PROSPECT,9405
PUTNAM,7214
QUINEBAUG,1133
REDDING,9158
RIDGEFIELD,7645
ROCKVILLE,7474
ROCKY HILL,19709
SALEM,4151
SALISBURY,3741
SEYMOUR,16540
SHARON,729
SHELTON,39559
SHERMAN,3581
SIMSBURY,23511
SOMERS,1789
SOUTH WINDSOR,25709
SOUTHBURY,19904
SOUTHINGTON,43069
SPRAGUE,2984
STAFFORD,12087
STAFFORD SPRINGS,4988
STAMFORD,122643
STERLING,3830
STONINGTON,929
STORRS,15344
STRATFORD,51384
SUFFIELD,15735
TARIFFVILLE,1324
TERRYVILLE,5387
THOMASTON,1910
THOMPSON,9458
TOLLAND,15052
TORRINGTON,36383
TRUMBULL,36018
VERNON,29179
VOLUNTOWN,2603
WALLINGFORD,45135
WARREN,1461
WASHINGTON,3578
WATERBURY,110366
WATERFORD,2887
WATERTOWN,3574
WAUREGAN,1205
WEATOGUE,2776
WEST HARTFORD,63268
WEST HAVEN,55564
WESTBROOK,6938
WESTON,10179
WESTPORT,26391
WETHERSFIELD,26668
WILLIMANTIC,17737
WILLINGTON,6041
WILTON,18062
WINCHESTER,11242
WINDHAM,25268
WINDSOR,29044
WINDSOR LOCKS,12498
WINSTED,7712
WOLCOTT,16680
WOODBRIDGE,8990
WOODBURY,9975
WOODSTOCK,7964
