LocationifOther,cleaned_location
MOTHER'S HOME,RESIDENCE
FRIEND'S HOUSE,RESIDENCE
FRIENDS HOUSE,RESIDENCE
PASSANGER SIDE OF VEHICLE IN FRONT OF,VEHICLE
FRIENDS' HOME,RESIDENCE
AUNT'S RESIDENCE,RESIDENCE
SUPER 8 MOTEL ROOM 219,HOTEL
HOMELESS,OTHER
GIRLFRIEND'S RESIDENCE,RESIDENCE
BOYFRIEND'S RESIDENCE,RESIDENCE
APPALACHIAN TRAIL-WOODS,OTHER
PUBLIC BUILDING,OTHER
MOTEL,HOTEL
ROADWAY,OTHER
IN VEHICLE,VEHICLE
"NAUGATUCK MOTOR LODGE, ROOM 105",HOTEL
SHELTER,OTHER
HONEY SPOT,OTHER
WOODED AREA,OTHER
TRAIN STATION,OTHER
GRANDMOTHER'S RESIDENCE,RESIDENCE
UNDER PIER,OTHER
SIDEWALK,OTHER
WALKWAY,OTHER
WOODS,OTHER
APARTMENT,RESIDENCE
IN CAR ON ROAD,VEHICLE
AMERICAN MOTOR LODGE,HOTEL
FRIEND'S HOME,RESIDENCE
SUNNYSIDE INN,HOTEL
INDUSTRIAL AREA,OTHER
SACRED HEART UNIVERSITY,OTHER
TRUCK STOP,OTHER
PARENTS HOUSE,RESIDENCE
FRIENDS APARTMENT,RESIDENCE
DAYS INN ROOM 214,HOTEL
FATHER'S RESIDENCE,RESIDENCE
PASSPORT INN #106,HOTEL
YMCA,OTHER
RESIDENCE,RESIDENCE
PARK,OTHER
FATHER'S SUMMER COTTAGE,RESIDENCE
FIELD,OTHER
FRIEND'S RESIDENCE,RESIDENCE
FRIEND'S APARTMENT,RESIDENCE
DAD'S HOME,RESIDENCE
WORK PLACE,OTHER
CAR,VEHICLE
POST OFFICE,COMMERCIAL
AMERICA'S BEST HOTEL,HOTEL
GIRLFRIEND'S HOUSE,RESIDENCE
GRAVEL PIT,OTHER
NEW STRATFORD MOTOR INN,HOTEL
SHORELINE HOTEL,HOTEL
RED ROOF INN,HOTEL
BEACH,OTHER
BROTHER'S HOME,RESIDENCE
OUTSIDE,OTHER
HALFWAY HOUSE,RESIDENCE
THE INN,HOTEL
HILTON GARDEN INN,HOTEL
OXFORD HOUSE,RESIDENCE
MOTHER'S RESIDENCE,RESIDENCE
FRIENDS RESIDENCE,RESIDENCE
